Codigo Proyecto;Warning;Dif de avance;Estado;Cockpit;Mercado;3 Horizontes;Focos de Gerencia de Innovación;Focos de Innovación de Entel;Proyectos;Actividades;Categorias de innovación;Avance de Actividad %;Prioridad;Fecha de Proyecto;Responsable;Lidera;Equipo;Rol E&I;Comentario;
1;1%;-161;Terminado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Penta Lean;;Labs;100%;Alta;10-11-15;;;;;;
2;1%;-217;Terminado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Aceleramiento idea servicios;Aceleramiento idea servicios;Labs;100%;Media;15-09-15;;AA;GG;;Trabajo con Bombacamp;
3;1%;-217;Terminado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Validación Aplicación;Validación Aplicación;Labs;100%;Media;15-09-15;;AA;GG;;CX+BOMBA   15 de semptiembre presentacion final;
4;3%;255;En Desarrollo;SI;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Big data Analitics;SA. Frontera;3%;Alta;30-12-16;;;;;;
5;5%;255;En Desarrollo;NO;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Casos Internos (Churn, CVM, Tiendas);SA. Frontera;5%;Alta;30-12-16;AC;ED;SF;Liderazgo;Levantamiento de los casos de uso interno, levantamiento de las inversiones, coordinacion con redes, sistemas y TD. Comité de inversiones, Aprovado comité de inversion, enviar a rodrigo detalle de inversiones, abrir las cuentas de inv. Ppt Gobierno. cerrar con proveedor;
6;5%;255;En Desarrollo;SI;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Casos Externos;SA. Frontera;5%;Alta;30-12-16;AC;ED;SF;Seguimiento;;
7;;72;No Comenzado;SI;;Transformacional;Impulsar la Innovación Frontera;MT5 Big Data;Big data Analitics;Definir Gobernance;SA. Frontera;0%;Alta;30-06-16;AC;VC;;Seguimiento;;
8;1%;-42479;No Comenzado;NO;;Trasformacional;Impulsar la Innovación Frontera;MT7 Evolucion del contenido;DPI Analytics;DPI Analytics;SA. Frontera;0%;Media;;;;;;;
9;100%;0;Terminado;SI;;Transformacional;Impulsar la Innovación Frontera;MT4 IoT;IoT/M2M;;SA. Frontera;100%;Alta;19-04-16;;;;Seguimiento;;
10;1%;-231;Terminado;NO;;Transformacional;Impulsar la Innovación Frontera;MT4 IoT;IoT/M2M;Alineamiento Transversal Estrategia IoT / M2M;SA. Frontera;100%;Alta;01-09-15;AC;VC;;Seguimiento;Realizado Ok;
11;100%;0;Terminado;NO;;Transformacional;Impulsar la Innovación Frontera;MT4 IoT;IoT/M2M;Soporte Estrategia M2M - IoT Vodafone;SA. Frontera;100%;Alta;19-04-16;VC;AC;VC,ED,AA;Liderazgo;Terminado. Realizado workshop en santiago y recibido version final del documento. Falta por realizar reunion final de cierre proyecto;
